car_id,car_make,car_model,car_year,purchase_price,sale_price,purchase_date,sale_date,buyer_name,seller_name,profit
1,Land Rover,Range Rover,1994,90902.53,66205.21,8/6/2020,4/7/2011,Patsy Olyonov,Marti Freeborne,-24697.32
2,Acura,SLX,1997,69758.31,115922.19,2/26/2010,4/26/2008,Bernardina Manginot,Deana Emmet,46163.88
3,Lotus,Esprit,1985,13964.68,16537.89,10/11/2009,7/9/2008,Karly Mougel,Shurwood Aldgate,2573.21
4,Ford,Escape,2004,44428.28,81464.23,6/22/2017,6/17/2008,Alexandra Woodfield,Karlotta Tugwell,37035.95
5,Volvo,V40,2000,47677.05,36326.24,2/5/2010,8/16/2017,Adara Meynell,Felike Wells,-11350.81
6,Kia,Optima,2003,56973.57,118278.02,8/26/2019,1/2/2012,Modestine Britnell,Suzanna Waltering,61304.45
7,Chevrolet,Impala,2011,97989.18,17287.94,2/12/2009,9/17/2001,Hamnet Egarr,Nalani McIlvenny,-80701.24
8,Volvo,C70,2011,54747.48,11143.43,6/17/2019,6/5/2021,Herman Noni,Madelyn Farlowe,-43604.05
9,Dodge,Dakota Club,1998,73640.58,17459.38,3/30/2012,8/10/2017,Rori Hafford,Gennie Fowden,-56181.2
10,Mazda,Mazdaspeed6,2006,6304.6,20605.81,1/1/2000,3/4/2019,Seana Frigot,Lewes Royds,14301.21
11,Chevrolet,Silverado Hybrid,2006,82103.01,66867.14,10/16/2022,8/26/2002,Billy Skechley,Dorine Larenson,-15235.87
12,Chevrolet,1500,1997,71876.81,44026.95,1/5/2016,1/5/2008,Heriberto De Launde,Ezri Sedgeworth,-27849.86
13,Toyota,Avalon,2009,61943.79,39541.4,9/8/2001,7/31/2001,Valry Maleck,Eyde McFee,-22402.39
14,Suzuki,XL7,2007,67166.12,67149.25,5/5/2004,9/20/2022,Berty Skillern,Clarke Kirsz,-16.87
15,Isuzu,Impulse,1992,49448.46,8504.4,7/29/2007,10/2/2015,Sumner Joe,Nancy Wrist,-40944.06
16,GMC,Sierra 3500,2000,92923.49,56895.03,10/24/2017,8/19/2010,Dale Storah,Corny Ingamells,-36028.46
17,Mazda,CX-7,2012,67994.32,109026.3,1/8/2014,9/29/2008,Hatty Caulcutt,Pace Schutt,41031.98
18,Porsche,Cayenne,2004,78523.29,68768.06,2/24/2000,7/7/2017,Duff Dellit,Rafi Boase,-9755.23
19,Mitsubishi,Pajero,1987,80643.63,15634.06,3/20/2011,10/25/2002,Shay Harron,Carlin Floweth,-65009.57
20,Nissan,Murano,2010,70330.65,42144.84,2/11/2020,6/19/2015,Kassey Maddicks,Renie Brydon,-28185.81
21,Toyota,Corolla,2000,9485.12,103056.54,8/8/2003,6/8/2006,Micki Growcock,Maddie Denman,93571.42
22,Buick,LeSabre,2005,52789.42,19509.73,10/4/2015,12/17/2022,Danielle Gillicuddy,Herby Liddell,-33279.69
23,Pontiac,Fiero,1984,61545.66,33832.56,5/21/2006,10/9/2003,Morgun Edworthye,Addia Orum,-27713.1
24,Toyota,T100 Xtra,1998,34277.58,65439.1,12/29/2014,2/24/2001,Dyann Gages,Perry Tavner,31161.52
25,Suzuki,Daewoo Lacetti,2006,16673.39,88702.74,1/17/2018,1/2/2014,Monica Griswood,Gerta Smithyman,72029.35
26,Chevrolet,Express 3500,2004,41891.84,7560.23,2/14/2003,1/12/2000,Charita Molen,Benetta Bridell,-34331.61
27,Chevrolet,Colorado,2012,10935.66,10407.13,2/11/2012,2/15/2017,Marita Szach,Archibold Baybutt,-528.53
28,Nissan,Pathfinder,1997,19732.8,101484.18,4/12/2002,9/28/2022,Sheila Moorey,Fernandina Diter,81751.38
29,Tesla,Roadster,2010,65422.43,40535.85,5/30/2004,5/25/2020,Lorita La Wille,Olivette Keford,-24886.58
30,Lexus,RX,1999,36073.34,113994.99,11/7/2003,7/6/2014,Derwin Burren,Dalia Nutbrown,77921.65
